Country,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015
 Afghanistan,,,,,,,104.9,,55,,50.3,,44.7,,56.1,,52.9,,53.2
 Albania,38.1,,47,,55.9,,70.3,,85.5,,90.8,,85.3,,88.9,,75.1,,71.4
 Algeria,48.4,,55.2,,62.5,,71.3,,69.9,,67.4,,65.3,,63.6,,62.5,,
 Angola,66.7,,,,152.5,,139.6,,105.3,,107.5,,102.1,,95.1,,88.5,,75.1
 Antigua and Barbuda,175.9,,180.9,,123.2,,123.1,,105.9,,104.4,,103.7,,105.8,,104.6,,97.8
 Argentina,15,,19.8,,22.6,,40.4,,34.8,,35,,30.4,,29.2,,28.2,,22.9
 Armenia,81.3,,86.1,,73.9,,72,,66.1,,71.1,,76,,76.6,,75.4,,71
 Australia,32.3,,37.7,,40.9,,38.9,,39.9,,41.2,,42.7,,40.9,,42.3,,41
 Austria,71.6,,68.4,,85.5,,94.2,,98.7,,104.8,,105,,103.5,,102.7,,102.4
 Azerbaijan,83.1,,69.4,,77.4,,115.8,,75,,80.5,,79.3,,75.6,,69.5,,72.6
 Bahamas,110.1,,104.5,,91.2,,93.2,,90,,101,,105.9,,99.8,,104.8,,93.4
 Bahrain,210.2,,152.5,,135.8,,148.3,,120.5,,126.8,,122.2,,119.9,,115.3,,
 Bangladesh,19,,28.2,,29.3,,34.4,,37.8,,47.4,,48.1,,46.3,,44.5,,42.1
 Barbados,79.5,,90.1,,88.8,,95.7,,96.6,,91.5,,89.9,,87.1,,84.9,,81.2
 Belarus,89.6,,103.7,,141.6,,118.9,,120.1,,163.3,,158.1,,123.8,,114.6,,119.2
 Belgium,120.6,,115.5,,141.1,,143.4,,151.1,,162.8,,164,,163.1,,167.1,,167.1
 Belize,122.3,,97.1,,126.6,,117.4,,115.7,,123.2,,125.4,,127.1,,125.6,,
 Benin,45.7,,63.8,,56,,45.8,,61,,55.6,,60.4,,69.1,,81.2,,62.8
 Bhutan,57.5,,80.4,,82.5,,101.8,,113.2,,111.7,,101.8,,102.7,,93.6,,116
 Bolivia (Plurinational State of),46.7,,49.7,,45.6,,67.6,,75.5,,82.5,,84.9,,81.2,,85.3,,
 Bosnia and Herzegovina,,,91.9,,104.2,,103.2,,81,,87.9,,88.1,,87.8,,90.8,,
 Botswana,104.8,,94.6,,91.9,,88.5,,94.9,,101.4,,108.7,,123.8,,117.5,,99.2
 Brazil,15.2,,16.6,,22.6,,27.1,,22.5,,23.7,,24.8,,25.6,,25.1,,27.4
 Brunei Darussalam,99.1,,115.5,,103.2,,97.5,,114.3,,108.2,,112.5,,108.6,,106.6,,
 Bulgaria,69.8,,101.8,,78.3,,99.9,,110.2,,123.7,,129.6,,134.5,,131.1,,131.5
 Burkina Faso,35.4,,40.7,,34.5,,35.5,,48.9,,58.2,,62.7,,63.5,,64.8,,68.7
 Burundi,35.6,,40.2,,22.6,,41.6,,48.1,,47,,46.4,,41.6,,41.3,,40
 Cabo Verde,86,,77.5,,87.5,,104.3,,86.9,,91.8,,,,,,,,
 Cambodia,,,77.8,,111.6,,136.8,,113.6,,113.6,,120.7,,128.2,,129,,141.7
 Cameroon,37.5,,41.4,,42.9,,41.9,,40.4,,44.9,,45.4,,49.6,,52.9,,42.8
 Canada,50,,69.1,,82.9,,69.7,,60.1,,62.3,,62.4,,62.1,,64.3,,65.4
 Central African Republic,42.9,,50.5,,45.7,,34.7,,38.3,,33.3,,33.2,,34.8,,31.2,,39.5
 Chad,41.4,,55.7,,51.6,,85.8,,80.4,,80.7,,80.6,,72.6,,76.6,,67.2
 Chile,64.5,,56.4,,57.9,,70,,69.7,,72.9,,68.8,,65.4,,65.9,,60.4
 China,29.6,,38.4,,39.4,,62.9,,49.4,,51.1,,48.7,,47.1,,45.1,,41.2
 Colombia,35.4,,35.5,,32.7,,35.6,,33.7,,38.7,,38.3,,37.7,,37.3,,39
 Comoros,51.4,,64.3,,51.1,,51.4,,69.9,,71.6,,74.6,,78.2,,79.9,,
 Congo,70.8,,128.3,,123.9,,138.7,,139.8,,145.1,,144.1,,142.6,,143.2,,165.6
 Congo (Democratic Republic of the),,,52.2,,27,,44,,91.9,,95,,73.5,,75.7,,80.1,,64.5
 Costa Rica,66.5,,77.9,,94.4,,102.5,,79.1,,79.4,,78.9,,74.5,,72.3,,
 Croatia,,,63.5,,76.1,,84.7,,75.9,,81.3,,82.7,,85.6,,90.5,,96
 Cuba,71.1,,29.3,,31.1,,39.4,,40.3,,47,,45.9,,44.3,,,,
 Cyprus,108.6,,134.6,,138.3,,112.9,,101,,102.5,,101.4,,99.2,,108.1,,
 Czech Republic,64.1,,84.2,,98.5,,122.3,,129.3,,139.3,,148.3,,148.7,,160.9,,162.5
 Côte d'Ivoire,58.8,,76.2,,74.6,,93.9,,94,,91.2,,92.8,,84.9,,82.8,,87.8
 Denmark,67.2,,68.6,,83.1,,89.2,,93.3,,100.3,,101.7,,101.7,,100.7,,100.2
 Djibouti,132.3,,90.4,,85.4,,91.6,,,,,,,,,,,,
 Dominica,135.1,,114.2,,97.5,,87.9,,88.8,,90.9,,84.6,,82.7,,81.5,,80.7
 Dominican Republic,77.5,,75.1,,82.9,,65.5,,54.8,,57.5,,57.5,,56.6,,56.3,,53.6
 Ecuador,44.6,,45.9,,59.5,,56.1,,60.3,,64.5,,61.8,,60.7,,58.7,,45.1
 Egypt,52.8,,50.2,,39,,63,,47.9,,45.3,,41.2,,40.7,,37.4,,34.9
 El Salvador,49.8,,59.4,,69.8,,69.8,,68.8,,74.6,,69.7,,71.9,,69.6,,68
 Equatorial Guinea,203.3,,355,,334.1,,131,,176,,164.2,,163.1,,164.2,,162.1,,178.3
 Eritrea,,,105.3,,67.9,,61.1,,28.1,,37.5,,,,,,,,
 Estonia,,,143.2,,126.5,,136.9,,143.8,,167.3,,172.2,,171.3,,164.4,,155.4
 Ethiopia,,,,,,,,,,,48.2,,45.4,,41.5,,40.7,,37.2
 Fiji,129.5,,118.1,,135.4,,118.3,,121.7,,124.2,,125.1,,126,,117.6,,137
 Finland,45.8,,64.1,,75,,76.6,,76.1,,79.2,,80.4,,78.5,,76.5,,74.3
 France,42.4,,43.3,,55.3,,53.2,,54,,58.2,,59.2,,59.1,,60.1,,61.4
 Gabon,76.9,,95.1,,101.7,,84.8,,89.2,,90.5,,92.3,,90.6,,73.5,,74
 Gambia,131.5,,59.3,,56.4,,70.3,,66.5,,67.1,,74.9,,70.1,,,,
 Georgia,85.3,,67.8,,62.7,,85.3,,87.7,,91,,95.9,,102.3,,103.4,,110
 Germany,46,,43.5,,61.4,,70.4,,79.3,,84.7,,85.9,,85,,84.7,,86
 Ghana,42.7,,57.4,,116,,98.2,,75.4,,86.3,,93.2,,81.7,,88.5,,98.8
 Greece,40.1,,37.1,,58.4,,50.9,,52.8,,57.8,,61.8,,64,,67.9,,60.4
 Grenada,105.2,,100.1,,105,,78.4,,75.8,,79,,78.4,,78.8,,72.5,,68.7
 Guatemala,45.9,,44.7,,49.1,,66,,62.1,,64,,61,,58.5,,56.7,,51.3
 Guinea,64.5,,45.6,,53.5,,69.9,,64.9,,78.4,,91.7,,83.1,,80.6,,78.1
 Guinea-Bissau,47,,46.8,,54.9,,48.4,,55.3,,57.5,,38.2,,38.5,,36.8,,
 Guyana,142.6,,213.3,,206.8,,203.8,,131.3,,140.8,,145.3,,130.2,,132.7,,120.5
 Haiti,,,37.8,,46.1,,57,,80.1,,76.4,,70.1,,71.2,,71.3,,69.5
 Honduras,77.1,,91.8,,120.4,,136.5,,109.4,,122.2,,121.2,,116.3,,112.6,,109.1
" Hong Kong, China (SAR)",252.8,,290.4,,279.1,,377.1,,432.9,,447.1,,450,,455.3,,438.8,,400
 Hungary,,,78.5,,137.3,,127.9,,159.3,,168.3,,166.9,,168.6,,171.2,,
 Iceland,64.5,,66,,71.9,,72.9,,97.3,,105.2,,107.9,,103.3,,101,,100.4
 India,15.2,,22.5,,26.4,,41.3,,48.3,,55.6,,55.8,,53.6,,48.8,,
 Indonesia,49.1,,54,,71.4,,64,,46.7,,50.2,,49.6,,48.6,,48.1,,41.9
 Iran (Islamic Republic of),37.1,,35.1,,41.3,,56.1,,45.7,,42.2,,43.1,,47.3,,43.1,,
 Iraq,15.1,,0,,125.3,,115.7,,73.5,,72.2,,73.6,,67.6,,61.2,,50.4
 Ireland,104.9,,135.9,,175.2,,148.5,,190.2,,184.5,,197.2,,194,,209.1,,222
 Israel,80.1,,63,,71.2,,81.5,,67.8,,71.5,,72.4,,64.6,,62.9,,59.4
